Country,Country_Code,Category,Indicator_Code,Year,Enrollment
Qatar,QAT,Female,SE.TER.ENRR.FE,2016,47.9673181513398
Qatar,QAT,Male,SE.TER.ENRR.MA,2016,6.0314702572506
Saudi Arabia,SAU,Total,SE.TER.ENRR,2016,63.9826623355369
Saudi Arabia,SAU,Female,SE.TER.ENRR.FE,2016,73.3711032428941
Saudi Arabia,SAU,Male,SE.TER.ENRR.MA,2016,57.0110220571712
United Arab Emirates,ARE,Total,SE.TER.ENRR,2016,
United Arab Emirates,ARE,Female,SE.TER.ENRR.FE,2016,
United Arab Emirates,ARE,Male,SE.TER.ENRR.MA,2016,
Bahrain,BHR,Total,SE.TER.ENRR,2017,48.7280981931009
Bahrain,BHR,Female,SE.TER.ENRR.FE,2017,65.1926737665277
Bahrain,BHR,Male,SE.TER.ENRR.MA,2017,35.609756097561
Kuwait,KWT,Total,SE.TER.ENRR,2017,54.9159622359267
Kuwait,KWT,Female,SE.TER.ENRR.FE,2017,77.4231910735153
Kuwait,KWT,Male,SE.TER.ENRR.MA,2017,36.1341709670182
Oman,OMN,Total,SE.TER.ENRR,2017,43.5767818520195
Oman,OMN,Female,SE.TER.ENRR.FE,2017,57.0111419257529
Oman,OMN,Male,SE.TER.ENRR.MA,2017,32.8895081798008
Qatar,QAT,Total,SE.TER.ENRR,2017,16.7774362605473
Qatar,QAT,Female,SE.TER.ENRR.FE,2017,62.7524220847438
Qatar,QAT,Male,SE.TER.ENRR.MA,2017,6.42305543689001
Saudi Arabia,SAU,Total,SE.TER.ENRR,2017,70.7471342981424
Saudi Arabia,SAU,Female,SE.TER.ENRR.FE,2017,77.3520799295616
Saudi Arabia,SAU,Male,SE.TER.ENRR.MA,2017,65.5521668907396
United Arab Emirates,ARE,Total,SE.TER.ENRR,2017,
United Arab Emirates,ARE,Female,SE.TER.ENRR.FE,2017,
United Arab Emirates,ARE,Male,SE.TER.ENRR.MA,2017,
Bahrain,BHR,Total,SE.TER.ENRR,2018,50.2628341348842
Bahrain,BHR,Female,SE.TER.ENRR.FE,2018,67.32867632062
Bahrain,BHR,Male,SE.TER.ENRR.MA,2018,36.9246403379428
Kuwait,KWT,Total,SE.TER.ENRR,2018,52.1066893601774
Kuwait,KWT,Female,SE.TER.ENRR.FE,2018,74.5099989061366
Kuwait,KWT,Male,SE.TER.ENRR.MA,2018,33.7462511409571
Oman,OMN,Total,SE.TER.ENRR,2018,44.9540216505645
Oman,OMN,Female,SE.TER.ENRR.FE,2018,57.4878074857514
Oman,OMN,Male,SE.TER.ENRR.MA,2018,34.4241000483659
Qatar,QAT,Total,SE.TER.ENRR,2018,17.4458250857575
Qatar,QAT,Female,SE.TER.ENRR.FE,2018,65.8024691358025
Qatar,QAT,Male,SE.TER.ENRR.MA,2018,6.49269762180164
Saudi Arabia,SAU,Total,SE.TER.ENRR,2018,73.1971736383918
Saudi Arabia,SAU,Female,SE.TER.ENRR.FE,2018,79.3739530365657
Saudi Arabia,SAU,Male,SE.TER.ENRR.MA,2018,68.0257526757239
United Arab Emirates,ARE,Total,SE.TER.ENRR,2018,53.2113281680102
United Arab Emirates,ARE,Female,SE.TER.ENRR.FE,2018,54.1665574458046
United Arab Emirates,ARE,Male,SE.TER.ENRR.MA,2018,52.4542139762941
Bahrain,BHR,Total,SE.TER.ENRR,2019,52.9045782700327
Bahrain,BHR,Female,SE.TER.ENRR.FE,2019,71.7243510506798
Bahrain,BHR,Male,SE.TER.ENRR.MA,2019,38.396331295164
Kuwait,KWT,Total,SE.TER.ENRR,2019,50.4400595299189
Kuwait,KWT,Female,SE.TER.ENRR.FE,2019,72.0643503604847
Kuwait,KWT,Male,SE.TER.ENRR.MA,2019,33.0268358964857
Oman,OMN,Total,SE.TER.ENRR,2019,45.1723183863131
Oman,OMN,Female,SE.TER.ENRR.FE,2019,56.3356093694527
Oman,OMN,Male,SE.TER.ENRR.MA,2019,35.6991718397489
Qatar,QAT,Total,SE.TER.ENRR,2019,21.0931416049405
Qatar,QAT,Female,SE.TER.ENRR.FE,2019,70.1104594886978
Qatar,QAT,Male,SE.TER.ENRR.MA,2019,7.90193449530741
Saudi Arabia,SAU,Total,SE.TER.ENRR,2019,77.9664942011008
Saudi Arabia,SAU,Female,SE.TER.ENRR.FE,2019,84.7451705932617
Saudi Arabia,SAU,Male,SE.TER.ENRR.MA,2019,75.0917205810547
United Arab Emirates,ARE,Total,SE.TER.ENRR,2019,53.8814655213653
United Arab Emirates,ARE,Female,SE.TER.ENRR.FE,2019,58.2194090637889
United Arab Emirates,ARE,Male,SE.TER.ENRR.MA,2019,50.4371706630508
Bahrain,BHR,Total,SE.TER.ENRR,2020,54.4077922369055
Bahrain,BHR,Female,SE.TER.ENRR.FE,2020,75.2914550382905
Bahrain,BHR,Male,SE.TER.ENRR.MA,2020,38.9140536530126
Kuwait,KWT,Total,SE.TER.ENRR,2020,53.731878917367
Kuwait,KWT,Female,SE.TER.ENRR.FE,2020,73.6753293712972
Kuwait,KWT,Male,SE.TER.ENRR.MA,2020,37.4090346863357
Oman,OMN,Total,SE.TER.ENRR,2020,48.3754397440909
Oman,OMN,Female,SE.TER.ENRR.FE,2020,58.2401474222055
Oman,OMN,Male,SE.TER.ENRR.MA,2020,39.4078992454066
Qatar,QAT,Total,SE.TER.ENRR,2020,23.7649212314763
Qatar,QAT,Female,SE.TER.ENRR.FE,2020,75.1430222479052
Qatar,QAT,Male,SE.TER.ENRR.MA,2020,8.87826603822552
Saudi Arabia,SAU,Total,SE.TER.ENRR,2020,73.7510866368859
Saudi Arabia,SAU,Female,SE.TER.ENRR.FE,2020,81.1357693094557
Saudi Arabia,SAU,Male,SE.TER.ENRR.MA,2020,67.6012526747541
United Arab Emirates,ARE,Total,SE.TER.ENRR,2020,54.9746998074699
United Arab Emirates,ARE,Female,SE.TER.ENRR.FE,2020,65.9918390965991
United Arab Emirates,ARE,Male,SE.TER.ENRR.MA,2020,46.2213026913182
Bahrain,BHR,Total,SE.TER.ENRR,2021,47.5015525503536
Bahrain,BHR,Female,SE.TER.ENRR.FE,2021,67.0769779680671
Bahrain,BHR,Male,SE.TER.ENRR.MA,2021,33.5770823089003
Kuwait,KWT,Total,SE.TER.ENRR,2021,51.8967176944636
Kuwait,KWT,Female,SE.TER.ENRR.FE,2021,65.9408689214824
Kuwait,KWT,Male,SE.TER.ENRR.MA,2021,39.9190270620082
Oman,OMN,Total,SE.TER.ENRR,2021,43.8433613964625
Oman,OMN,Female,SE.TER.ENRR.FE,2021,52.9462515450918
Oman,OMN,Male,SE.TER.ENRR.MA,2021,35.9147958409503
